=== Monitor de CPU ===
Data/Hora		CPU (%)
-----------------------------------
28/07/2025 23:00:20	16.2%
28/07/2025 23:00:23	26.7%
28/07/2025 23:00:26	5.2%
28/07/2025 23:00:29	12.7%
28/07/2025 23:00:32	6.7%
28/07/2025 23:00:35	6.9%
28/07/2025 23:00:38	4.3%
28/07/2025 23:00:41	20.8%
28/07/2025 23:00:44	4.1%
28/07/2025 23:00:47	38.6%
